,vector,type,label,units,parent_vector,aggregation,details
104,v_CA1996_104,Total,Living with non-relatives only,Number,v_CA1996_102,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over; Number of non-family persons 65 years and over; Living with non-relatives only
105,v_CA1996_105,Total,Living alone,Number,v_CA1996_102,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over; Number of non-family persons 65 years and over; Living alone
106,v_CA1996_106,Total,Number of family persons 65 years and over,Number,v_CA1996_101,Additive,Canada Census 1996; 20% sample data; Persons in private households; Total number of persons 65 years and over; Number of family persons 65 years and over
107,v_CA1996_107,Total,Total number of occupied private dwellings by structural type of dwelling,Number,NA,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling
108,v_CA1996_108,Total,Single-detached house,Number,v_CA1996_107,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Single-detached house
109,v_CA1996_109,Total,Semi-detached house,Number,v_CA1996_107,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Semi-detached house
110,v_CA1996_110,Total,Row house,Number,v_CA1996_107,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Row house
111,v_CA1996_111,Total,"Apartment, detached duplex",Number,v_CA1996_107,Additive,"Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Apartment, detached duplex"
112,v_CA1996_112,Total,"Apartment building, five or more storeys",Number,v_CA1996_107,Additive,"Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Apartment building, five or more storeys"
113,v_CA1996_113,Total,"Apartment building, less than five storeys",Number,v_CA1996_107,Additive,"Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Apartment building, less than five storeys"
114,v_CA1996_114,Total,Other single attached house,Number,v_CA1996_107,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Other single attached house
115,v_CA1996_115,Total,Movable dwelling,Number,v_CA1996_107,Additive,Canada Census 1996; 20% sample data; Total number of occupied private dwellings by structural type of dwelling; Movable dwelling
116,v_CA1996_116,Total,Total number of private households by household size,Number,NA,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size
117,v_CA1996_117,Total,1 person,Number,v_CA1996_116,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size; 1 person
118,v_CA1996_118,Total,2 persons,Number,v_CA1996_116,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size; 2 persons
119,v_CA1996_119,Total,3 persons,Number,v_CA1996_116,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size; 3 persons
120,v_CA1996_120,Total,4 - 5 persons,Number,v_CA1996_116,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size; 4 - 5 persons
121,v_CA1996_121,Total,6 or more persons,Number,v_CA1996_116,Additive,Canada Census 1996; 20% sample data; Total number of private households by household size; 6 or more persons
122,v_CA1996_122,Total,Total population by citizenship,Number,NA,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by citizenship
123,v_CA1996_123,Total,Canadian citizenship,Number,v_CA1996_122,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by citizenship; Canadian citizenship
124,v_CA1996_124,Total,Citizenship other than Canadian,Number,v_CA1996_122,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by citizenship; Citizenship other than Canadian
125,v_CA1996_125,Total,Total population by place of birth,Number,NA,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth
126,v_CA1996_126,Total,Non-immigrant population,Number,v_CA1996_125,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Non-immigrant population
127,v_CA1996_127,Total,Born in province of residence,Number,v_CA1996_126,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Non-immigrant population; Born in province of residence
128,v_CA1996_128,Total,Total immigrants by selected countries of birth,Number,v_CA1996_125,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth
129,v_CA1996_129,Total,United Kingdom,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; United Kingdom
130,v_CA1996_130,Total,Italy,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Italy
131,v_CA1996_131,Total,United States,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; United States
132,v_CA1996_132,Total,Hong Kong,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Hong Kong
133,v_CA1996_133,Total,India,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; India
134,v_CA1996_134,Total,"China, People's Republic of",Number,v_CA1996_128,Additive,"Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; China, People's Republic of"
135,v_CA1996_135,Total,Poland,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Poland
136,v_CA1996_136,Total,Philippines,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Philippines
137,v_CA1996_137,Total,Germany,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Germany
138,v_CA1996_138,Total,Portugal,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Portugal
139,v_CA1996_139,Total,Viet Nam,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Viet Nam
140,v_CA1996_140,Total,Netherlands,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Netherlands
141,v_CA1996_141,Total,Jamaica,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Jamaica
142,v_CA1996_142,Total,Greece,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Greece
143,v_CA1996_143,Total,Guyana,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Guyana
144,v_CA1996_144,Total,Sri Lanka,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Sri Lanka
145,v_CA1996_145,Total,Lebanon,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Lebanon
146,v_CA1996_146,Total,France,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; France
147,v_CA1996_147,Total,Trinidad and Tobago,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Trinidad and Tobago
148,v_CA1996_148,Total,Yugoslavia,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Yugoslavia
149,v_CA1996_149,Total,Hungary,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Hungary
150,v_CA1996_150,Total,Haiti,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Haiti
151,v_CA1996_151,Total,Taiwan,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Taiwan
152,v_CA1996_152,Total,Iran,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Iran
153,v_CA1996_153,Total,Romania,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Romania
154,v_CA1996_154,Total,"Korea, South",Number,v_CA1996_128,Additive,"Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Korea, South"
155,v_CA1996_155,Total,Ukraine,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Ukraine
156,v_CA1996_156,Total,Pakistan,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Pakistan
157,v_CA1996_157,Total,El Salvador,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; El Salvador
158,v_CA1996_158,Total,Egypt,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Egypt
159,v_CA1996_159,Total,Croatia,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Croatia
160,v_CA1996_160,Total,Russian Federation,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Russian Federation
161,v_CA1996_161,Total,"Ireland, Republic of (Eire)",Number,v_CA1996_128,Additive,"Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Ireland, Republic of (Eire)"
162,v_CA1996_162,Total,"South Africa, Republic of",Number,v_CA1996_128,Additive,"Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; South Africa, Republic of"
163,v_CA1996_163,Total,Mexico,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Mexico
164,v_CA1996_164,Total,Austria,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Austria
165,v_CA1996_165,Total,Chile,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Chile
166,v_CA1996_166,Total,Belgium,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Belgium
167,v_CA1996_167,Total,Fiji,Number,v_CA1996_128,Additive,Canada Census 1996; 20% sample data; Citizenship and place of birth; Total population by place of birth; Total immigrants by selected countries of birth; Fiji
