"","vector","type","label","units","parent_vector","aggregation","details"
"43","v_CA11F_43","Female","30 to 34 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 30 to 34 years"
"44","v_CA11F_44","Total","35 to 39 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 35 to 39 years"
"45","v_CA11F_45","Male","35 to 39 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 35 to 39 years"
"46","v_CA11F_46","Female","35 to 39 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 35 to 39 years"
"47","v_CA11F_47","Total","40 to 44 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 40 to 44 years"
"48","v_CA11F_48","Male","40 to 44 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 40 to 44 years"
"49","v_CA11F_49","Female","40 to 44 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 40 to 44 years"
"50","v_CA11F_50","Total","45 to 49 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 45 to 49 years"
"51","v_CA11F_51","Male","45 to 49 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 45 to 49 years"
"52","v_CA11F_52","Female","45 to 49 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 45 to 49 years"
"53","v_CA11F_53","Total","50 to 54 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 50 to 54 years"
"54","v_CA11F_54","Male","50 to 54 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 50 to 54 years"
"55","v_CA11F_55","Female","50 to 54 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 50 to 54 years"
"56","v_CA11F_56","Total","55 to 59 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 55 to 59 years"
"57","v_CA11F_57","Male","55 to 59 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 55 to 59 years"
"58","v_CA11F_58","Female","55 to 59 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 55 to 59 years"
"59","v_CA11F_59","Total","60 to 64 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 60 to 64 years"
"60","v_CA11F_60","Male","60 to 64 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 60 to 64 years"
"61","v_CA11F_61","Female","60 to 64 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 60 to 64 years"
"62","v_CA11F_62","Total","65 to 69 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 65 to 69 years"
"63","v_CA11F_63","Male","65 to 69 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 65 to 69 years"
"64","v_CA11F_64","Female","65 to 69 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 65 to 69 years"
"65","v_CA11F_65","Total","70 to 74 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 70 to 74 years"
"66","v_CA11F_66","Male","70 to 74 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 70 to 74 years"
"67","v_CA11F_67","Female","70 to 74 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 70 to 74 years"
"68","v_CA11F_68","Total","75 to 79 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 75 to 79 years"
"69","v_CA11F_69","Male","75 to 79 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 75 to 79 years"
"70","v_CA11F_70","Female","75 to 79 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 75 to 79 years"
"71","v_CA11F_71","Total","80 to 84 years","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 80 to 84 years"
"72","v_CA11F_72","Male","80 to 84 years","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 80 to 84 years"
"73","v_CA11F_73","Female","80 to 84 years","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 80 to 84 years"
"74","v_CA11F_74","Total","85 years and over","Number","v_CA11F_5","Additive","CA 2011 Census; Age Groups; Total population by age groups; 85 years and over"
"75","v_CA11F_75","Male","85 years and over","Number","v_CA11F_6","Additive","CA 2011 Census; Age Groups; Total population by age groups; 85 years and over"
"76","v_CA11F_76","Female","85 years and over","Number","v_CA11F_7","Additive","CA 2011 Census; Age Groups; Total population by age groups; 85 years and over"
"77","v_CA11F_77","Total","Median age of the population","Ratio",NA,"Median of v_CA11F_5","CA 2011 Census; Age Groups; Age Stats; Median age of the population"
"78","v_CA11F_78","Male","Median age of the population","Ratio",NA,"Median of v_CA11F_6","CA 2011 Census; Age Groups; Age Stats; Median age of the population"
"79","v_CA11F_79","Female","Median age of the population","Ratio",NA,"Median of v_CA11F_7","CA 2011 Census; Age Groups; Age Stats; Median age of the population"
"80","v_CA11F_80","Total","% of the population aged 15 and over","Percentage (0-100)",NA,"Average of v_CA11F_86","CA 2011 Census; Age Groups; Age Stats; % of the population aged 15 and over"
"81","v_CA11F_81","Male","% of the population aged 15 and over","Percentage (0-100)",NA,"Average of v_CA11F_87","CA 2011 Census; Age Groups; Age Stats; % of the population aged 15 and over"
"82","v_CA11F_82","Female","% of the population aged 15 and over","Percentage (0-100)",NA,"Average of v_CA11F_88","CA 2011 Census; Age Groups; Age Stats; % of the population aged 15 and over"
"83","v_CA11F_83","Total","Total population 15 years and over by marital status","Number","CA11F","Additive","CA 2011 Census; Total population 15 years and over by marital status"
"84","v_CA11F_84","Male","Total population 15 years and over by marital status","Number",NA,"Additive","CA 2011 Census; Total population 15 years and over by marital status"
"85","v_CA11F_85","Female","Total population 15 years and over by marital status","Number",NA,"Additive","CA 2011 Census; Total population 15 years and over by marital status"
"86","v_CA11F_86","Total","Married or living with a common-law partner","Number","v_CA11F_83","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner"
"87","v_CA11F_87","Male","Married or living with a common-law partner","Number","v_CA11F_84","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner"
"88","v_CA11F_88","Female","Married or living with a common-law partner","Number","v_CA11F_85","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner"
"89","v_CA11F_89","Total","Married (and not separated)","Number","v_CA11F_86","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Married (and not separated)"
"90","v_CA11F_90","Male","Married (and not separated)","Number","v_CA11F_87","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Married (and not separated)"
"91","v_CA11F_91","Female","Married (and not separated)","Number","v_CA11F_88","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Married (and not separated)"
"92","v_CA11F_92","Total","Living common law","Number","v_CA11F_86","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Living common law"
"93","v_CA11F_93","Male","Living common law","Number","v_CA11F_87","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Living common law"
"94","v_CA11F_94","Female","Living common law","Number","v_CA11F_88","Additive","CA 2011 Census; Total population 15 years and over by marital status; Married or living with a common-law partner; Living common law"
"95","v_CA11F_95","Total","Not married and not living with a common-law partner","Number","v_CA11F_83","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner"
"96","v_CA11F_96","Male","Not married and not living with a common-law partner","Number","v_CA11F_84","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner"
"97","v_CA11F_97","Female","Not married and not living with a common-law partner","Number","v_CA11F_85","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner"
"98","v_CA11F_98","Total","Single (never legally married)","Number","v_CA11F_95","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Single (never legally married)"
"99","v_CA11F_99","Male","Single (never legally married)","Number","v_CA11F_96","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Single (never legally married)"
"100","v_CA11F_100","Female","Single (never legally married)","Number","v_CA11F_97","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Single (never legally married)"
"101","v_CA11F_101","Total","Separated","Number","v_CA11F_95","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Separated"
"102","v_CA11F_102","Male","Separated","Number","v_CA11F_96","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Separated"
"103","v_CA11F_103","Female","Separated","Number","v_CA11F_97","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Separated"
"104","v_CA11F_104","Total","Divorced","Number","v_CA11F_95","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Divorced"
"105","v_CA11F_105","Male","Divorced","Number","v_CA11F_96","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Divorced"
"106","v_CA11F_106","Female","Divorced","Number","v_CA11F_97","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Divorced"
"107","v_CA11F_107","Total","Widowed","Number","v_CA11F_95","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Widowed"
"108","v_CA11F_108","Male","Widowed","Number","v_CA11F_96","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Widowed"
"109","v_CA11F_109","Female","Widowed","Number","v_CA11F_97","Additive","CA 2011 Census; Total population 15 years and over by marital status; Not married and not living with a common-law partner; Widowed"
"110","v_CA11F_110","Total","Total number of census families in private households","Number",NA,"Additive","CA 2011 Census; Families; Total number of census families in private households"
"111","v_CA11F_111","Total","Size of census family: 2 persons","Number","v_CA11F_110","Additive","CA 2011 Census; Families; Total number of census families in private households; Size of census family: 2 persons"
"112","v_CA11F_112","Total","Size of census family: 3 persons","Number","v_CA11F_110","Additive","CA 2011 Census; Families; Total number of census families in private households; Size of census family: 3 persons"
"113","v_CA11F_113","Total","Size of census family: 4 persons","Number","v_CA11F_110","Additive","CA 2011 Census; Families; Total number of census families in private households; Size of census family: 4 persons"
"114","v_CA11F_114","Total","Size of census family: 5 or more persons","Number","v_CA11F_110","Additive","CA 2011 Census; Families; Total number of census families in private households; Size of census family: 5 or more persons"
"115","v_CA11F_115","Total","Total number of census families in private households","Number",NA,"Additive","CA 2011 Census; Families; Total number of census families in private households"
"116","v_CA11F_116","Total","Total couple families by family structure and number of children","Number","v_CA11F_115","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children"
"117","v_CA11F_117","Total","Married couples","Number","v_CA11F_116","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples"
"118","v_CA11F_118","Total","Without children at home","Number","v_CA11F_117","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples; Without children at home"
"119","v_CA11F_119","Total","With children at home","Number","v_CA11F_117","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples; With children at home"
"120","v_CA11F_120","Total","1 child","Number","v_CA11F_119","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples; With children at home; 1 child"
"121","v_CA11F_121","Total","2 children","Number","v_CA11F_119","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples; With children at home; 2 children"
"122","v_CA11F_122","Total","3 or more children","Number","v_CA11F_119","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Married couples; With children at home; 3 or more children"
"123","v_CA11F_123","Total","Common-law couples","Number","v_CA11F_116","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples"
"124","v_CA11F_124","Total","Without children at home","Number","v_CA11F_123","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples; Without children at home"
"125","v_CA11F_125","Total","With children at home","Number","v_CA11F_123","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples; With children at home"
"126","v_CA11F_126","Total","1 child","Number","v_CA11F_125","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples; With children at home; 1 child"
"127","v_CA11F_127","Total","2 children","Number","v_CA11F_125","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples; With children at home; 2 children"
"128","v_CA11F_128","Total","3 or more children","Number","v_CA11F_125","Additive","CA 2011 Census; Families; Total number of census families in private households; Total couple families by family structure and number of children; Common-law couples; With children at home; 3 or more children"
"129","v_CA11F_129","Total","Total lone-parent families by sex of parent and number of children","Number","v_CA11F_115","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children"
"130","v_CA11F_130","Total","Female parent","Number","v_CA11F_129","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Female parent"
"131","v_CA11F_131","Total","1 child","Number","v_CA11F_130","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Female parent; 1 child"
"132","v_CA11F_132","Total","2 children","Number","v_CA11F_130","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Female parent; 2 children"
"133","v_CA11F_133","Total","3 or more children","Number","v_CA11F_130","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Female parent; 3 or more children"
"134","v_CA11F_134","Total","Male parent","Number","v_CA11F_129","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Male parent"
"135","v_CA11F_135","Total","1 child","Number","v_CA11F_134","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Male parent; 1 child"
"136","v_CA11F_136","Total","2 children","Number","v_CA11F_134","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Male parent; 2 children"
"137","v_CA11F_137","Total","3 or more children","Number","v_CA11F_134","Additive","CA 2011 Census; Families; Total number of census families in private households; Total lone-parent families by sex of parent and number of children; Male parent; 3 or more children"
"138","v_CA11F_138","Total","Total children in census families in private households","Number",NA,"Additive","CA 2011 Census; Families; Total children in census families in private households"
"139","v_CA11F_139","Total","Under six years of age","Number","v_CA11F_138","Additive","CA 2011 Census; Families; Total children in census families in private households; Under six years of age"
"140","v_CA11F_140","Total","6 to 14 years","Number","v_CA11F_138","Additive","CA 2011 Census; Families; Total children in census families in private households; 6 to 14 years"
"141","v_CA11F_141","Total","15 to 17 years","Number","v_CA11F_138","Additive","CA 2011 Census; Families; Total children in census families in private households; 15 to 17 years"
"142","v_CA11F_142","Total","18 to 24 years","Number","v_CA11F_138","Additive","CA 2011 Census; Families; Total children in census families in private households; 18 to 24 years"
"143","v_CA11F_143","Total","25 years and over","Number","v_CA11F_138","Additive","CA 2011 Census; Families; Total children in census families in private households; 25 years and over"
"144","v_CA11F_144","Total","Average number of children at home per census family","Ratio",NA,"Average of v_CA11F_115","CA 2011 Census; Families; Average number of children at home per census family"
"145","v_CA11F_163","Total","Average number of persons per census family","Ratio",NA,"Average of v_CA11F_115","CA 2011 Census; Families; Average number of persons per census family"
"146","v_CA11F_145","Total","Total number of persons in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons in private households"
"147","v_CA11F_146","Male","Total number of persons in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons in private households"
"148","v_CA11F_147","Female","Total number of persons in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons in private households"
"149","v_CA11F_148","Total","Number of persons not in census families","Number","v_CA11F_145","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families"
"150","v_CA11F_149","Male","Number of persons not in census families","Number","v_CA11F_146","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families"
"151","v_CA11F_150","Female","Number of persons not in census families","Number","v_CA11F_147","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families"
"152","v_CA11F_151","Total","Living with relatives","Number","v_CA11F_148","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with relatives"
"153","v_CA11F_152","Male","Living with relatives","Number","v_CA11F_149","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with relatives"
"154","v_CA11F_153","Female","Living with relatives","Number","v_CA11F_150","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with relatives"
"155","v_CA11F_154","Total","Living with non-relatives only","Number","v_CA11F_148","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with non-relatives only"
"156","v_CA11F_155","Male","Living with non-relatives only","Number","v_CA11F_149","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with non-relatives only"
"157","v_CA11F_156","Female","Living with non-relatives only","Number","v_CA11F_150","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living with non-relatives only"
"158","v_CA11F_157","Total","Living alone","Number","v_CA11F_148","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living alone"
"159","v_CA11F_158","Male","Living alone","Number","v_CA11F_149","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living alone"
"160","v_CA11F_159","Female","Living alone","Number","v_CA11F_150","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of persons not in census families; Living alone"
"161","v_CA11F_160","Total","Number of census family persons","Number","v_CA11F_145","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of census family persons"
"162","v_CA11F_161","Male","Number of census family persons","Number","v_CA11F_146","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of census family persons"
"163","v_CA11F_162","Female","Number of census family persons","Number","v_CA11F_147","Additive","CA 2011 Census; Households; Total number of persons in private households; Number of census family persons"
"164","v_CA11F_164","Total","Total number of persons aged 65 years and over in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households"
"165","v_CA11F_165","Male","Total number of persons aged 65 years and over in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households"
"166","v_CA11F_166","Female","Total number of persons aged 65 years and over in private households","Number",NA,"Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households"
"167","v_CA11F_167","Total","Number of persons not in census families aged 65 years and over","Number","v_CA11F_164","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over"
"168","v_CA11F_168","Male","Number of persons not in census families aged 65 years and over","Number","v_CA11F_165","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over"
"169","v_CA11F_169","Female","Number of persons not in census families aged 65 years and over","Number","v_CA11F_166","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over"
"170","v_CA11F_170","Total","Living with relatives","Number","v_CA11F_167","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with relatives"
"171","v_CA11F_171","Male","Living with relatives","Number","v_CA11F_168","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with relatives"
"172","v_CA11F_172","Female","Living with relatives","Number","v_CA11F_169","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with relatives"
"173","v_CA11F_173","Total","Living with non-relatives only","Number","v_CA11F_167","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with non-relatives only"
"174","v_CA11F_174","Male","Living with non-relatives only","Number","v_CA11F_168","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with non-relatives only"
"175","v_CA11F_175","Female","Living with non-relatives only","Number","v_CA11F_169","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living with non-relatives only"
"176","v_CA11F_176","Total","Living alone","Number","v_CA11F_167","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living alone"
"177","v_CA11F_177","Male","Living alone","Number","v_CA11F_168","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living alone"
"178","v_CA11F_178","Female","Living alone","Number","v_CA11F_169","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of persons not in census families aged 65 years and over; Living alone"
"179","v_CA11F_179","Total","Number of census family persons aged 65 years and over","Number","v_CA11F_164","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of census family persons aged 65 years and over"
"180","v_CA11F_180","Male","Number of census family persons aged 65 years and over","Number","v_CA11F_165","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of census family persons aged 65 years and over"
"181","v_CA11F_181","Female","Number of census family persons aged 65 years and over","Number","v_CA11F_166","Additive","CA 2011 Census; Households; Total number of persons aged 65 years and over in private households; Number of census family persons aged 65 years and over"
"182","v_CA11F_182","Total","Total number of private households by household type","Number",NA,"Additive","CA 2011 Census; Households; Total number of private households by household type"
